league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,Aston Villa vs West Ham,28/08/2022,Aston Villa,West Ham,0,1
Premier League,Wolves vs Newcastle,28/08/2022,Wolves,Newcastle,1,1
Premier League,Nottingham vs Tottenham,28/08/2022,Nottingham,Tottenham,0,2
Premier League,Crystal Palace vs Brentford,30/08/2022,Crystal Palace,Brentford,1,1
Premier League,Fulham vs Brighton,30/08/2022,Fulham,Brighton,2,1
Premier League,Southampton vs Chelsea,30/08/2022,Southampton,Chelsea,2,1
Premier League,Leeds vs Everton,30/08/2022,Leeds,Everton,1,1
Premier League,Arsenal vs Aston Villa,31/08/2022,Arsenal,Aston Villa,2,1
Premier League,Bournemouth vs Wolves,31/08/2022,Bournemouth,Wolves,0,0
Premier League,Man City vs Nottingham,31/08/2022,Man City,Nottingham,6,0
Premier League,West Ham vs Tottenham,31/08/2022,West Ham,Tottenham,1,1
Premier League,Liverpool vs Newcastle,31/08/2022,Liverpool,Newcastle,2,1
Premier League,Leicester vs Man United,1/9/2022,Leicester,Man United,0,1
Premier League,Everton vs Liverpool,3/9/2022,Everton,Liverpool,0,0
Premier League,Brentford vs Leeds,3/9/2022,Brentford,Leeds,5,2
Premier League,Chelsea vs West Ham,3/9/2022,Chelsea,West Ham,2,1
Premier League,Newcastle vs Crystal Palace,3/9/2022,Newcastle,Crystal Palace,0,0
Premier League,Nottingham vs Bournemouth,3/9/2022,Nottingham,Bournemouth,2,3
Premier League,Tottenham vs Fulham,3/9/2022,Tottenham,Fulham,2,1
Premier League,Wolves vs Southampton,3/9/2022,Wolves,Southampton,1,0
Premier League,Aston Villa vs Man City,3/9/2022,Aston Villa,Man City,1,1
Premier League,Brighton vs Leicester,4/9/2022,Brighton,Leicester,5,2
Premier League,Man United vs Arsenal,4/9/2022,Man United,Arsenal,3,1
Premier League,Aston Villa vs Southampton,16/09/2022,Aston Villa,Southampton,1,0
Premier League,Nottingham vs Fulham,16/09/2022,Nottingham,Fulham,2,3
Premier League,Wolves vs Man City,17/09/2022,Wolves,Man City,0,3
Premier League,Newcastle vs Bournemouth,17/09/2022,Newcastle,Bournemouth,1,1
Premier League,Tottenham vs Leicester,17/09/2022,Tottenham,Leicester,6,2
Premier League,Brentford vs Arsenal,18/09/2022,Brentford,Arsenal,0,3
Premier League,Everton vs West Ham,18/09/2022,Everton,West Ham,1,0
Premier League,Arsenal vs Tottenham,1/10/2022,Arsenal,Tottenham,3,1
Premier League,Bournemouth vs Brentford,1/10/2022,Bournemouth,Brentford,0,0
Premier League,Crystal Palace vs Chelsea,1/10/2022,Crystal Palace,Chelsea,1,2
Premier League,Fulham vs Newcastle,1/10/2022,Fulham,Newcastle,1,4
Premier League,Liverpool vs Brighton,1/10/2022,Liverpool,Brighton,3,3
Premier League,Southampton vs Everton,1/10/2022,Southampton,Everton,1,2
Premier League,West Ham vs Wolves,1/10/2022,West Ham,Wolves,2,0
Premier League,Man City vs Man United,2/10/2022,Man City,Man United,6,3
Premier League,Leeds vs Aston Villa,2/10/2022,Leeds,Aston Villa,0,0
Premier League,Leicester vs Nottingham,3/10/2022,Leicester,Nottingham,4,0
Premier League,Bournemouth vs Leicester,8/10/2022,Bournemouth,Leicester,2,1
Premier League,Chelsea vs Wolves,8/10/2022,Chelsea,Wolves,3,0
Premier League,Man City vs Southampton,8/10/2022,Man City,Southampton,4,0
Premier League,Newcastle vs Brentford,8/10/2022,Newcastle,Brentford,5,1
Premier League,Brighton vs Tottenham,8/10/2022,Brighton,Tottenham,0,1
Premier League,Crystal Palace vs Leeds,9/10/2022,Crystal Palace,Leeds,2,1
Premier League,West Ham vs Fulham,9/10/2022,West Ham,Fulham,3,1
Premier League,Arsenal vs Liverpool,9/10/2022,Arsenal,Liverpool,3,2
Premier League,Everton vs Man United,9/10/2022,Everton,Man United,1,2
Premier League,Nottingham vs Aston Villa,10/10/2022,Nottingham,Aston Villa,1,1
Premier League,Brentford vs Brighton,14/10/2022,Brentford,Brighton,2,0
Premier League,Leicester vs Crystal Palace,15/10/2022,Leicester,Crystal Palace,0,0
Premier League,Fulham vs Bournemouth,15/10/2022,Fulham,Bournemouth,2,2
Premier League,Wolves vs Nottingham,15/10/2022,Wolves,Nottingham,1,0
Premier League,Tottenham vs Everton,15/10/2022,Tottenham,Everton,2,0
Premier League,Aston Villa vs Chelsea,16/10/2022,Aston Villa,Chelsea,0,2
Premier League,Leeds vs Arsenal,16/10/2022,Leeds,Arsenal,0,1
Premier League,Man United vs Newcastle,16/10/2022,Man United,Newcastle,0,0
Premier League,Southampton vs West Ham,16/10/2022,Southampton,West Ham,1,1
Premier League,Liverpool vs Man City,16/10/2022,Liverpool,Man City,1,0
Premier League,Brighton vs Nottingham,18/10/2022,Brighton,Nottingham,0,0
Premier League,Crystal Palace vs Wolves,18/10/2022,Crystal Palace,Wolves,2,1
Premier League,Bournemouth vs Southampton,19/10/2022,Bournemouth,Southampton,0,1
Premier League,Brentford vs Chelsea,19/10/2022,Brentford,Chelsea,0,0
Premier League,Liverpool vs West Ham,19/10/2022,Liverpool,West Ham,1,0
Premier League,Newcastle vs Everton,19/10/2022,Newcastle,Everton,1,0
Premier League,Man United vs Tottenham,19/10/2022,Man United,Tottenham,2,0
Premier League,Fulham vs Aston Villa,20/10/2022,Fulham,Aston Villa,3,0
Premier League,Leicester vs Leeds,20/10/2022,Leicester,Leeds,2,0
Premier League,Nottingham vs Liverpool,22/10/2022,Nottingham,Liverpool,1,0
Premier League,Everton vs Crystal Palace,22/10/2022,Everton,Crystal Palace,3,0
Premier League,Man City vs Brighton,22/10/2022,Man City,Brighton,3,1
Premier League,Chelsea vs Man United,22/10/2022,Chelsea,Man United,1,1
Premier League,Aston Villa vs Brentford,23/10/2022,Aston Villa,Brentford,4,0
Premier League,Leeds vs Fulham,23/10/2022,Leeds,Fulham,2,3
Premier League,Southampton vs Arsenal,23/10/2022,Southampton,Arsenal,1,1
Premier League,Wolves vs Leicester,23/10/2022,Wolves,Leicester,0,4
Premier League,Tottenham vs Newcastle,23/10/2022,Tottenham,Newcastle,1,2
Premier League,West Ham vs Bournemouth,24/10/2022,West Ham,Bournemouth,2,0
Premier League,Leicester vs Man City,29/10/2022,Leicester,Man City,0,1
Premier League,Bournemouth vs Tottenham,29/10/2022,Bournemouth,Tottenham,2,3
Premier League,Brentford vs Wolves,29/10/2022,Brentford,Wolves,1,1
Premier League,Brighton vs Chelsea,29/10/2022,Brighton,Chelsea,4,1
Premier League,Crystal Palace vs Southampton,29/10/2022,Crystal Palace,Southampton,1,0
Premier League,Newcastle vs Aston Villa,29/10/2022,Newcastle,Aston Villa,4,0
Premier League,Fulham vs Everton,29/10/2022,Fulham,Everton,0,0
Premier League,Liverpool vs Leeds,29/10/2022,Liverpool,Leeds,1,2
Premier League,Arsenal vs Nottingham,30/10/2022,Arsenal,Nottingham,5,0
Premier League,Man United vs West Ham,30/10/2022,Man United,West Ham,1,0
Premier League,Leeds vs Bournemouth,5/11/2022,Leeds,Bournemouth,4,3
Premier League,Man City vs Fulham,5/11/2022,Man City,Fulham,2,1
Premier League,Nottingham vs Brentford,5/11/2022,Nottingham,Brentford,2,2
Premier League,Wolves vs Brighton,5/11/2022,Wolves,Brighton,2,3
Premier League,Everton vs Leicester,5/11/2022,Everton,Leicester,0,2
Premier League,Chelsea vs Arsenal,6/11/2022,Chelsea,Arsenal,0,1
Premier League,Aston Villa vs Man United,6/11/2022,Aston Villa,Man United,3,1
Premier League,Southampton vs Newcastle,6/11/2022,Southampton,Newcastle,1,4
